FNV	A32	DJB
1007	1044	1045
1000	964	1013
1030	968	989
1035	1030	955
950	1001	982
1004	927	1020
970	986	1012
953	1007	966
999	966	970
945	1006	914
1009	1025	1010
1030	994	1040
1000	1036	1025
1010	1003	991
985	985	1024
1042	1049	1014
959	1001	1039
984	995	972
1004	967	1027
977	979	979
982	964	1026
1018	1015	1003
964	1016	990
1007	984	963
1016	1035	940
1034	1006	949
1041	971	1029
949	1058	950
962	1004	1016
978	948	988
1058	1070	1013
1006	953	999
969	976	994
1002	1049	1068
1008	988	1007
1009	988	1007
948	1059	965
994	996	938
987	1039	996
1035	1006	1017
1035	960	1008
962	1042	1022
1024	995	985
944	1010	981
958	980	1022
1025	963	957
991	978	958
973	1035	1057
1010	1005	996
968	1005	1053
1010	985	979
976	989	1024
1017	1016	995
939	1018	977
1025	984	981
995	942	962
1055	954	1011
1034	1021	989
985	1024	971
959	996	981
964	1036	1007
1003	971	968
1065	1001	974
1026	1000	1018
994	987	1028
1004	967	965
981	993	1063
974	995	980
977	934	1001
1048	983	1033
1050	1003	1024
1006	1038	1035
1057	1007	991
996	1035	1039
987	972	955
964	1015	1013
986	1060	1020
1003	969	984
987	1007	1003
989	1022	1048
980	985	1003
1009	978	1056
1027	993	975
943	991	1046
970	1037	993
959	1018	1017
1022	995	1018
974	990	1018
990	1001	996
1019	977	956
1050	1041	1070
1080	992	1000
1006	972	1039
1022	1021	995
1014	1048	1000
1005	1013	990
1011	1050	958
1021	954	964
1021	993	974
1071	996	1029
